0.5485 1.0924 1.8196 
0.5748 1.563 1.5402 
0.5033 2.0117 1.4795 
0.5673 1.8475 1.4187 
0.5221 1.366 1.856 
0.5936 1.3989 1.3823 
0.5297 1.6943 1.2001 
0.5334 1.2238 1.9653 
0.5372 1.2347 1.9046 
0.5146 1.0377 0.9571 
0.556 1.4207 1.0179 
0.6049 1.1253 2.0261 
0.274 1.7381 1.7345 
0.383 1.6615 1.8682 
0.6237 0.9611 1.0908 
0.4432 1.4864 1.6738 
0.4319 0.9283 2.1475 
0.3379 1.3551 1.528 
0.1988 1.2566 1.686 
0.4168 1.5849 1.5159 
0.2815 2.0664 1.0786 
0.2213 1.5411 2.0504 
0.6387 1.5302 2.1111 
0.5447 1.6506 1.0543 
0.6124 1.4536 1.1758 
0.2965 1.9351 1.1272 
0.2589 2.1321 1.4916 
0.2176 1.7053 1.9167 
0.3078 1.7928 1.0422 
0.6274 0.9721 1.6131 
0.5522 1.9789 1.7588 
0.5973 2.1102 0.9329 
0.3191 1.6068 2.0747 
0.195 1.0705 2.184 
0.3228 1.1362 1.2851 
0.3717 2.154 1.9532 
0.2364 1.76 2.099 
0.4733 1.7491 0.9936 
0.4244 1.3004 1.443 
0.2664 1.3223 1.2244 
0.3153 2.1211 1.7953 
0.3792 1.0815 1.1029 
0.3266 1.1471 2.1961 
0.5635 1.8366 2.0625 
0.3416 1.8913 1.6617 
0.4921 1.8038 0.7871 
0.2627 1.3113 2.2569 
0.4883 1.2675 0.8478 
0.304 0.9502 1.8317 
0.4695 1.169 1.7831 
0.2476 1.9679 1.6252 
0.368 0.9173 2.0139 
0.5823 1.1909 0.8843 
0.3567 1.4098 1.7103 
0.3642 1.8257 1.2487 
0.1875 1.4426 1.4309 
0.2928 1.9242 1.1879 
0.1912 1.6287 1.3701 
0.4357 1.7709 1.4066 
0.2288 1.8694 1.0057 
0.3868 1.6725 0.8357 
0.4018 1.0158 1.4673 
0.2063 2.1977 1.8074 
0.2514 1.1034 1.5645 
0.2138 1.2128 1.1515 
0.3943 1.3879 2.1232
